                       1  1 1 1|nw = 149, c+1 = 393
                       1  1 1 1|nw = 149, c+1 = 394
                       1  1 11 |nw = 150, c+1 = 367
                       1  11   |nw = 152, c+1 = 373
                       1  11   |nw = 152, c+1 = 448
                       1  11  1|nw = 153, c+1 = 372
                       1  11 1 |nw = 154, c+1 = 466
                       1  111  |nw = 156, c+1 = 368
                       1  111  |nw = 156, c+1 = 447
                       1  111  |nw = 156, c+1 = 453
                       1  111  |nw = 156, c+1 = 465
                       1  111 1|nw = 157, c+1 = 388
                       1  111 1|nw = 157, c+1 = 646
                       1  111 1|nw = 157, c+1 = 680
                       1  111 1|nw = 157, c+1 = 683
                       1  111 1|nw = 157, c+1 = 692
                       1  11111|nw = 159, c+1 = 395
                       1  11111|nw = 159, c+1 = 630
                       1  11111|nw = 159, c+1 = 633
                       1  11111|nw = 159, c+1 = 634
                       1 1   11|nw = 163, c+1 = 459
                       1 1   11|nw = 163, c+1 = 472
                       1 1  1 1|nw = 165, c+1 = 381
                       1 1  1 1|nw = 165, c+1 = 458
                       1 1  1 1|nw = 165, c+1 = 635
                       1 1  1 1|nw = 165, c+1 = 696
                       1 1  1 1|nw = 165, c+1 = 699
                       1 1  11 |nw = 166, c+1 = 402
                       1 1  11 |nw = 166, c+1 = 684
                       1 1  11 |nw = 166, c+1 = 687
                       1 1  111|nw = 167, c+1 = 374
                       1 1  111|nw = 167, c+1 = 471
                       1 1  111|nw = 167, c+1 = 647
                       1 1  111|nw = 167, c+1 = 648
                       1 1  111|nw = 167, c+1 = 651
                       1 1 1   |nw = 168, c+1 = 396
                       1 1 1   |nw = 168, c+1 = 688
                       1 1 1   |nw = 168, c+1 = 700
                       1 1 1  1|nw = 169, c+1 = 397
                       1 1 1  1|nw = 169, c+1 = 454
                       1 1 1 1 |nw = 170, c+1 = 476
                       1 1 1 11|nw = 171, c+1 = 685
                       1 1 11  |nw = 172, c+1 = 380
                       1 1 11  |nw = 172, c+1 = 401
                       1 1 11  |nw = 172, c+1 = 638
                       1 1 11 1|nw = 173, c+1 = 375
                       1 1 11 1|nw = 173, c+1 = 376
                       1 1 1111|nw = 175, c+1 = 455
                       1 1 1111|nw = 175, c+1 = 477
                       1 1 1111|nw = 175, c+1 = 697
                       1 11    |nw = 176, c+1 = 399
                       1 11   1|nw = 177, c+1 = 461
                       1 11   1|nw = 177, c+1 = 473
                       1 11  1 |nw = 178, c+1 = 398
                       1 11  11|nw = 179, c+1 = 698
                       1 11 1  |nw = 180, c+1 = 382
                       1 11 1  |nw = 180, c+1 = 403
                       1 11 1  |nw = 180, c+1 = 460
                       1 11 1  |nw = 180, c+1 = 636
                       1 11 1  |nw = 180, c+1 = 639
                       1 11 1  |nw = 180, c+1 = 640
                       1 11 1 1|nw = 181, c+1 = 701
                       1 11 111|nw = 183, c+1 = 377
                       1 11 111|nw = 183, c+1 = 378
                       1 111   |nw = 184, c+1 = 652
                       1 111  1|nw = 185, c+1 = 457
                       1 111  1|nw = 185, c+1 = 653
                       1 111 1 |nw = 186, c+1 = 400
                       1 111 1 |nw = 186, c+1 = 405
                       1 111 1 |nw = 186, c+1 = 479
                       1 111 11|nw = 187, c+1 = 456
                       1 111 11|nw = 187, c+1 = 475
                       1 1111  |nw = 188, c+1 = 383
                       1 1111  |nw = 188, c+1 = 384
                       1 1111  |nw = 188, c+1 = 686
                       1 1111 1|nw = 189, c+1 = 379
                       1 1111 1|nw = 189, c+1 = 474
                       1 1111 1|nw = 189, c+1 = 637
